department,front_share_%,back_share_%,delta_pp
snacks,6.95,10.35,3.4
pantry,4.54,7.31,2.76
frozen,5.75,7.64,1.88
dry goods pasta,1.69,2.97,1.28
canned goods,2.12,3.28,1.16
household,2.23,3.09,0.85
personal care,1.34,2.13,0.79
breakfast,1.78,2.41,0.62
deli,2.87,3.37,0.5
international,0.62,0.93,0.32
babies,0.9,1.09,0.2
meat seafood,2.09,2.22,0.13
missing,0.19,0.28,0.09
other,0.12,0.16,0.03
bulk,0.1,0.13,0.02
pets,0.36,0.29,-0.07
alcohol,0.77,0.6,-0.17
bakery,3.84,3.49,-0.35
beverages,11.52,8.42,-3.09
produce,29.42,26.1,-3.31
dairy eggs,20.79,13.75,-7.04
